Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/terms/BscScan,3,0,64,136.29396671118835,59.27800002973527,285.91510001569986,253.0,0.05023115655282355,0.0,64,64,290,290,290,290,290,290,290,290,290
GET,/api/terms/Commit%20Chains,2,0,57,57.6202500378713,56.87470000702888,58.365800068713725,298.0,0.03348743770188237,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/EIP-1559,1,0,61.68120005168021,61.68120005168021,61.68120005168021,61.68120005168021,270.0,0.016743718850941183,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/Ethereum%20Virtual%20Machine,3,0,59,58.73649998102337,58.117899927310646,59.09940006677061,305.0,0.05023115655282355,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/api/terms/Etherscan,3,0,59,59.13033332520475,56.903399992734194,61.39619997702539,258.0,0.05023115655282355,0.0,59,59,61,61,61,61,61,61,61,61,61
GET,/api/terms/Latency,3,0,58,58.35929998041441,57.37799999769777,59.52349992003292,251.0,0.05023115655282355,0.0,58,58,60,60,60,60,60,60,60,60,60
GET,/api/terms/Layer%201,3,0,300.0,240.1386999990791,73.4764999942854,349.07469991594553,269.0,0.05023115655282355,0.0,300,300,350,350,350,350,350,350,350,350,350
GET,/api/terms/LoadTest1192,2,0,58.218799997121096,59.13110001711175,58.218799997121096,60.0434000371024,152.0,0.03348743770188237,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/terms/LoadTest1227,1,0,62.57700000423938,62.57700000423938,62.57700000423938,62.57700000423938,152.0,0.016743718850941183,0.0,63,63,63,63,63,63,63,63,63,63,63
GET,/api/terms/LoadTest1318,3,0,60.996799962595105,59.92773334340503,57.89080006070435,60.996799962595105,152.0,0.05023115655282355,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/api/terms/LoadTest1359,3,0,63,61.38976671112081,57.85620003007352,63.73880000319332,152.0,0.05023115655282355,0.0,63,63,64,64,64,64,64,64,64,64,64
GET,/api/terms/LoadTest1414,3,0,59.01790002826601,59.57446666434407,59.01790002826601,60.23730000015348,152.0,0.05023115655282355,0.0,59,59,60,60,60,60,60,60,60,60,60
GET,/api/terms/LoadTest1696,1,0,57.568500051274896,57.568500051274896,57.568500051274896,57.568500051274896,152.0,0.016743718850941183,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/LoadTest1839,1,0,61.543299932964146,61.543299932964146,61.543299932964146,61.543299932964146,152.0,0.016743718850941183,0.0,62,62,62,62,62,62,62,62,62,62,62
GET,/api/terms/LoadTest2023,3,0,60,59.845600044354796,57.26670008152723,62.40659998729825,152.0,0.05023115655282355,0.0,60,60,62,62,62,62,62,62,62,62,62
GET,/api/terms/LoadTest2029,2,0,58,62.466800038237125,57.706600055098534,67.22700002137572,152.0,0.03348743770188237,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/api/terms/LoadTest2116,1,0,57.61849996633828,57.61849996633828,57.61849996633828,57.61849996633828,152.0,0.016743718850941183,0.0,58,58,58,58,58,58,58,58,58,58,58
GET,/api/terms/LoadTest2309,1,0,59.49529993813485,59.49529993813485,59.49529993813485,59.49529993813485,152.0,0.016743718850941183,0.0,59,59,59,59,59,59,59,59,59,59,59
